item_id,vertical,category,domain,score
512208310,CPG,PETS FOOD,MLC-CATS_AND_DOGS_FOODS,0.0272
468513076,CE,ELECTRONICS,MLC-RANGES,0.9256
614337410,CE,ELECTRONICS,MLC-SMART_SPEAKERS,0.8304
634351318,APP & SPORTS,APPAREL,MLC-PANTS,0.056
528383704,ACC,VEHICULAR MULTIMEDIA,MLC-GPS,0.2334
507642148,HOME & INDUSTRY,HOME&DECOR,MLC-STOOLS,0.3796
521057099,HOME & INDUSTRY,HOME&DECOR,MLC-QUILTS_AND_COVERLETS,0.4352
529123507,CE,ELECTRONICS,MLC-BLENDERS,0.2476
630745490,HOME & INDUSTRY,HOME&DECOR,MLC-CORKSCREWS,0.6292
627255896,ACC,AUTOPARTS,MLC-VEHICLE_MULTIMEDIA_SYSTEMS,0.1804
900724780,CE,COMPUTERS,MLC-SPEAKERS,0.7818
606285134,CE,COMPUTERS,MLC-HEADPHONES,0.9586
569066324,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.0221999999999999
607191292,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9788
520012966,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-COMBINED_TOOL_SETS,0.8042
548593057,CE,ELECTRONICS,MLC-AIR_PURIFIERS,0.7976
486798278,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.3658
632372125,CE,MOBILE,MLC-CELLPHONES,0.3272
636875293,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.5256
610089987,CE,ELECTRONICS,MLC-GAMEPADS_AND_JOYSTICKS,0.3494
542197247,APP & SPORTS,SPORTS,MLC-PUSH_UP_BARS,0.6128
611534097,APP & SPORTS,SPORTS,MLC-ROLLER_SKATES,0.6924
519453585,HOME & INDUSTRY,HOME&DECOR,MLC-BEDS,0.019
570741099,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.65
642663170,CE,ELECTRONICS,MLC-TV_AND_MONITOR_MOUNTS,0.1894
612405880,APP & SPORTS,SPORTS,MLC-FOOTBALL_BALLS,0.235
915462462,CE,ELECTRONICS,MLC-DRYER_MACHINES,0.5996
616180145,CE,MOBILE,MLC-CELLPHONES,0.5966
559537572,HOME & INDUSTRY,HOME&DECOR,MLC-COMFORTERS,0.2096
629373064,CE,ELECTRONICS,MLC-DRONES,0.282
582558524,CE,ELECTRONICS,MLC-COFFEE_MAKERS,0.2523999999999999
467441650,HOME & INDUSTRY,HOME&DECOR,MLC-GARDEN_HOSES,0.1927999999999999
559780336,HOME & INDUSTRY,HOME&DECOR,MLC-DINING_TABLES,0.3965999999999999
448671724,CE,COMPUTERS,MLC-MICROPHONES,0.1523999999999999
635362726,CPG,CLEANING,MLC-FABRIC_SOFTENERS,0.6572
589156993,CE,ELECTRONICS,MLC-HAIR_STRAIGHTENERS,0.944
521368798,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_BATTERIES,0.3346
600468266,CE,ELECTRONICS,MLC-TV_REMOTE_CONTROLS,0.795
567013088,CE,ELECTRONICS,MLC-SMART_SPEAKERS,0.5274
559335117,CE,ELECTRONICS,MLC-DRONES,0.7476
610547221,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_SCREWDRIVERS,0.5529999999999999
578025926,HOME & INDUSTRY,HOME&DECOR,MLC-HOT_TUBS,0.3358
611221989,HOME & INDUSTRY,INDUSTRY,MLC-SAFETY_FOOTWEAR,0.8768
629309852,CE,COMPUTERS,MLC-DESKTOP_COMPUTERS,0.7568
902064945,CE,ELECTRONICS,MLC-MICROWAVES,0.7686
904443491,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.0592
630300351,CE,COMPUTERS,MLC-PRINTER_INKS,0.2269999999999999
533990839,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-OXIMETERS,0.7183999999999999
593484674,ACC,WHEELS & TIRES,MLC-AUTOMOTIVE_TIRES,0.0891999999999999
458924811,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_MONITORING_KITS,0.9752
616314844,HOME & INDUSTRY,HOME&DECOR,MLC-TABLE_BRAZIERS,0.6719999999999999
542058963,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9814
620135204,CE,COMPUTERS,MLC-COMPUTER_MONITORS,0.3401999999999999
520134351,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_AND_CONSTRUCTION_SUPPLIES,0.0857999999999999
920465085,CE,ELECTRONICS,MLC-VIDEO_CAMERAS,0.7218
509249393,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_SUPPLIES,0.4758
507654004,ACC,AUTOPARTS,MLC-AUTOMOTIVE_CLUTCH_KITS,0.398
925941486,CE,ELECTRONICS,MLC-COOKTOPS,0.6468
641104174,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.9308
565509532,CE,COMPUTERS,MLC-ALL_IN_ONE,0.021
